               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.061993,           0.0086462,          0.00099363,             0.70662,             0.61906,             0.62809,             0.31919,            0.055775,           0.0043474,          0.00062838,          0.00091833,          0.00091833,          0.00091833
                  35,            0.062742,           0.0086419,           0.0010492,             0.71323,             0.60611,             0.62304,             0.31818,            0.055857,           0.0044073,          0.00058049,          0.00091585,          0.00091585,          0.00091585
                  36,            0.061788,           0.0083966,          0.00093933,             0.72844,             0.61598,             0.63724,             0.32717,            0.055353,           0.0043488,          0.00053055,          0.00091337,          0.00091337,          0.00091337
                  37,            0.062253,           0.0086464,           0.0010206,             0.73164,             0.61956,             0.63757,             0.32411,             0.05512,           0.0043773,          0.00060909,           0.0009109,           0.0009109,           0.0009109
                  38,            0.061408,           0.0084743,          0.00090182,             0.74412,             0.62505,             0.64596,             0.33309,            0.054848,           0.0043029,          0.00054943,          0.00090842,          0.00090842,          0.00090842
                  39,            0.061353,           0.0084804,          0.00089006,              0.7436,             0.63617,             0.65508,             0.34298,            0.054206,           0.0042965,          0.00055982,          0.00090595,          0.00090595,          0.00090595
                  40,            0.061178,           0.0084757,          0.00088818,             0.74186,             0.63511,             0.65309,             0.34492,             0.05373,           0.0042588,          0.00052977,          0.00090347,          0.00090347,          0.00090347
                  41,            0.060228,            0.008431,            0.000869,             0.74268,             0.64217,             0.66278,             0.35168,            0.053139,             0.00423,          0.00054911,            0.000901,            0.000901,            0.000901
                  42,            0.060609,           0.0084191,          0.00084384,             0.74125,             0.64669,               0.664,             0.35166,            0.053272,           0.0042353,          0.00056515,          0.00089853,          0.00089853,          0.00089853
                  43,            0.060263,           0.0084164,          0.00081592,             0.73826,             0.64349,             0.66141,             0.34501,             0.05351,           0.0042275,          0.00055099,          0.00089605,          0.00089605,          0.00089605
                  44,             0.06051,           0.0083803,          0.00098529,             0.74645,             0.64687,             0.66654,             0.35008,            0.053383,           0.0042038,          0.00055427,          0.00089358,          0.00089358,          0.00089358
                  45,            0.059521,           0.0082033,          0.00077388,             0.75573,             0.64629,             0.66807,             0.35496,            0.053147,           0.0041832,          0.00054016,           0.0008911,           0.0008911,           0.0008911
                  46,            0.059412,           0.0082815,          0.00079606,              0.7483,             0.65147,             0.67084,             0.35703,            0.052936,           0.0041837,          0.00053961,          0.00088862,          0.00088862,          0.00088862
                  47,            0.059165,           0.0082393,          0.00078695,             0.77068,             0.65444,             0.67896,             0.36346,            0.052171,           0.0041459,          0.00054394,          0.00088615,          0.00088615,          0.00088615
                  48,            0.058317,           0.0081881,          0.00081995,             0.78026,             0.65519,             0.68021,             0.36595,            0.051861,           0.0041279,          0.00054876,          0.00088368,          0.00088368,          0.00088368
                  49,            0.058505,           0.0081884,          0.00075267,             0.77462,             0.65999,             0.68286,             0.36698,            0.051755,           0.0041253,          0.00054603,           0.0008812,           0.0008812,           0.0008812
                  50,            0.058547,            0.008211,          0.00094603,             0.77426,             0.66615,              0.6877,             0.37238,            0.051651,            0.004123,          0.00053966,          0.00087873,          0.00087873,          0.00087873
                  51,            0.058323,           0.0081098,          0.00075339,             0.78258,             0.66822,             0.69245,             0.37428,            0.051431,           0.0041123,          0.00052458,          0.00087625,          0.00087625,          0.00087625
                  52,            0.058804,           0.0082854,          0.00089632,             0.78456,             0.66579,             0.68757,             0.37365,             0.05137,           0.0041133,          0.00051795,          0.00087378,          0.00087378,          0.00087378
                  53,            0.057231,           0.0081241,          0.00072187,             0.77383,             0.66855,             0.68933,             0.37484,            0.051304,           0.0041039,          0.00051858,           0.0008713,           0.0008713,           0.0008713
                  54,            0.057801,           0.0080642,          0.00075738,             0.77258,             0.67108,             0.69201,             0.37728,            0.051044,           0.0040896,          0.00052635,          0.00086882,          0.00086882,          0.00086882
                  55,            0.057557,           0.0081037,          0.00072205,             0.77913,             0.67116,             0.69322,             0.37694,            0.050899,             0.00408,          0.00052574,          0.00086635,          0.00086635,          0.00086635
                  56,            0.057133,           0.0080358,          0.00065527,             0.78069,             0.67661,             0.69673,             0.38088,            0.050479,           0.0040553,          0.00052393,          0.00086388,          0.00086388,          0.00086388
                  57,            0.056973,            0.008085,          0.00068608,              0.7936,             0.67935,             0.70072,             0.38509,            0.050179,           0.0040367,          0.00052065,           0.0008614,           0.0008614,           0.0008614
                  58,            0.056644,           0.0079767,          0.00072992,             0.79912,             0.68211,             0.70329,             0.38703,             0.04999,           0.0040278,          0.00051953,          0.00085893,          0.00085893,          0.00085893
                  59,            0.056343,           0.0080636,          0.00072785,             0.79579,               0.685,             0.70517,              0.3892,            0.049838,           0.0040222,          0.00051503,          0.00085645,          0.00085645,          0.00085645
                  60,            0.056211,           0.0079589,          0.00079615,             0.79784,             0.68714,             0.70815,             0.39157,            0.049643,           0.0040139,          0.00051259,          0.00085398,          0.00085398,          0.00085398
                  61,            0.056263,             0.00796,           0.0007353,             0.80458,             0.69002,             0.71205,              0.3948,            0.049431,           0.0040053,          0.00050964,           0.0008515,           0.0008515,           0.0008515
                  62,            0.056716,           0.0080256,          0.00074507,             0.80803,             0.69279,             0.71432,             0.39699,            0.049283,           0.0039916,          0.00050294,          0.00084902,          0.00084902,          0.00084902
                  63,            0.056335,            0.007975,          0.00065198,             0.81228,             0.69398,             0.71762,             0.39978,            0.049149,            0.003982,          0.00049549,          0.00084655,          0.00084655,          0.00084655
                  64,             0.05615,           0.0079265,          0.00064408,             0.81143,             0.69627,             0.71891,             0.40032,            0.049005,           0.0039743,          0.00049207,          0.00084408,          0.00084408,          0.00084408
                  65,            0.056112,           0.0078492,          0.00070335,             0.80397,             0.69839,             0.71924,             0.40223,            0.048851,           0.0039665,          0.00049339,           0.0008416,           0.0008416,           0.0008416
                  66,            0.055714,           0.0079012,          0.00067062,             0.79917,             0.70146,             0.72086,             0.40349,            0.048712,           0.0039581,          0.00049502,          0.00083913,          0.00083913,          0.00083913
                  67,            0.055134,            0.007833,          0.00068455,             0.80932,             0.69915,             0.72205,             0.40402,            0.048625,           0.0039539,          0.00049604,          0.00083665,          0.00083665,          0.00083665
                  68,            0.055093,           0.0079168,          0.00060773,             0.80434,               0.702,             0.72433,             0.40628,            0.048469,           0.0039459,          0.00049609,          0.00083418,          0.00083418,          0.00083418
                  69,            0.055206,           0.0078978,          0.00060566,              0.8047,             0.70355,              0.7245,             0.40704,            0.048399,            0.003941,          0.00049597,           0.0008317,           0.0008317,           0.0008317
                  70,            0.055634,           0.0078829,          0.00068029,             0.80811,             0.70289,             0.72401,             0.40846,            0.048301,           0.0039361,          0.00049692,          0.00082923,          0.00082923,          0.00082923
                  71,            0.055034,           0.0078129,          0.00058689,             0.80592,             0.70392,             0.72475,             0.40904,            0.048241,            0.003932,          0.00049667,          0.00082675,          0.00082675,          0.00082675
                  72,            0.054972,           0.0078046,           0.0007357,              0.8142,             0.70153,             0.72546,             0.40942,            0.048158,           0.0039289,          0.00049719,          0.00082427,          0.00082427,          0.00082427
                  73,            0.054235,           0.0077462,          0.00073439,             0.81238,             0.70256,             0.72426,             0.41105,            0.048063,           0.0039236,          0.00049682,           0.0008218,           0.0008218,           0.0008218
                  74,            0.054344,           0.0076753,          0.00061844,             0.81361,             0.70375,             0.72594,             0.41199,            0.047943,            0.003916,          0.00049551,          0.00081932,          0.00081932,          0.00081932
                  75,            0.054192,           0.0077886,          0.00061555,             0.81198,             0.70607,             0.72742,             0.41334,             0.04784,           0.0039111,          0.00049425,          0.00081685,          0.00081685,          0.00081685
                  76,            0.054142,           0.0076693,          0.00056003,             0.81221,             0.70802,             0.72958,             0.41467,            0.047728,            0.003905,          0.00049332,          0.00081437,          0.00081437,          0.00081437
                  77,            0.053895,           0.0076703,          0.00060274,             0.81168,             0.70849,             0.72999,             0.41551,            0.047635,           0.0038995,          0.00049259,           0.0008119,           0.0008119,           0.0008119
                  78,            0.054158,           0.0077355,           0.0006944,             0.80931,             0.70859,             0.73072,             0.41734,            0.047539,            0.003894,          0.00049178,          0.00080943,          0.00080943,          0.00080943
                  79,            0.054546,           0.0076961,          0.00077842,             0.80909,             0.71184,             0.73426,             0.41826,            0.047462,             0.00389,          0.00049051,          0.00080695,          0.00080695,          0.00080695
                  80,            0.053293,           0.0076946,           0.0006427,             0.81094,              0.7132,             0.73508,             0.41907,              0.0474,           0.0038874,          0.00049011,          0.00080447,          0.00080447,          0.00080447
                  81,            0.053424,           0.0077171,          0.00059837,             0.81439,             0.71302,             0.73615,             0.41988,            0.047289,           0.0038826,          0.00048982,            0.000802,            0.000802,            0.000802
                  82,            0.053334,           0.0076007,           0.0005648,             0.81377,             0.71461,              0.7375,              0.4211,            0.047204,           0.0038794,           0.0004889,          0.00079953,          0.00079953,          0.00079953
                  83,             0.05306,           0.0076024,           0.0005636,             0.82236,              0.7142,             0.73863,             0.42226,            0.047111,           0.0038739,          0.00048722,          0.00079705,          0.00079705,          0.00079705
                  84,            0.052762,           0.0075242,          0.00055033,             0.82254,             0.71596,             0.74022,             0.42342,            0.047031,           0.0038702,          0.00048571,          0.00079458,          0.00079458,          0.00079458
                  85,            0.052197,           0.0074887,          0.00060891,             0.82271,             0.71678,             0.74101,             0.42411,            0.046939,           0.0038658,          0.00048413,           0.0007921,           0.0007921,           0.0007921
                  86,            0.052903,           0.0075719,          0.00055249,             0.82607,             0.71652,             0.74216,             0.42546,            0.046855,            0.003862,          0.00048288,          0.00078963,          0.00078963,          0.00078963
                  87,             0.05236,           0.0074369,          0.00056381,             0.82732,             0.71683,             0.74294,             0.42615,             0.04677,           0.0038573,          0.00048182,          0.00078715,          0.00078715,          0.00078715
                  88,            0.053227,           0.0075796,           0.0006276,             0.82846,             0.71704,             0.74328,             0.42702,            0.046696,           0.0038536,          0.00048117,          0.00078467,          0.00078467,          0.00078467
                  89,            0.052417,           0.0075549,          0.00052096,             0.83094,             0.71637,             0.74327,             0.42713,            0.046628,           0.0038502,          0.00048083,           0.0007822,           0.0007822,           0.0007822
                  90,            0.053024,           0.0076839,          0.00084553,             0.82917,             0.71665,             0.74384,             0.42856,            0.046564,           0.0038463,          0.00048101,          0.00077972,          0.00077972,          0.00077972
                  91,            0.053159,           0.0077029,          0.00076817,             0.83324,             0.71777,             0.74574,             0.42963,            0.046487,           0.0038433,          0.00048084,          0.00077725,          0.00077725,          0.00077725
                  92,            0.052344,           0.0075383,          0.00056386,             0.83344,             0.71878,             0.74629,              0.4302,            0.046404,           0.0038383,          0.00048095,          0.00077478,          0.00077478,          0.00077478
                  93,            0.052213,           0.0075447,          0.00060822,             0.83374,             0.72016,             0.74742,             0.43138,             0.04631,           0.0038335,          0.00048106,           0.0007723,           0.0007723,           0.0007723
                  94,            0.052022,            0.007409,           0.0005746,             0.83471,             0.72041,             0.74832,             0.43243,            0.046238,           0.0038292,            0.000481,          0.00076983,          0.00076983,          0.00076983
                  95,             0.05157,           0.0075612,          0.00060901,             0.83446,             0.72204,             0.74977,             0.43348,            0.046175,            0.003825,          0.00048065,          0.00076735,          0.00076735,          0.00076735
                  96,            0.052106,            0.007466,          0.00056986,              0.8372,             0.72101,             0.75039,             0.43464,            0.046097,           0.0038202,          0.00047958,          0.00076488,          0.00076488,          0.00076488
                  97,            0.051479,           0.0073342,          0.00055519,             0.83844,             0.72294,             0.75241,              0.4354,            0.046016,           0.0038156,          0.00047875,           0.0007624,           0.0007624,           0.0007624
                  98,            0.051492,           0.0073662,          0.00056615,             0.83693,             0.72491,             0.75356,             0.43638,            0.045943,           0.0038108,          0.00047765,          0.00075993,          0.00075993,          0.00075993
                  99,            0.053042,           0.0076942,          0.00061689,             0.83714,             0.72583,             0.75486,             0.43739,            0.045873,           0.0038077,          0.00047704,          0.00075745,          0.00075745,          0.00075745
                 100,            0.053767,           0.0077387,          0.00061461,             0.83818,             0.72659,             0.75535,             0.43778,            0.045802,           0.0038057,          0.00047636,          0.00075497,          0.00075497,          0.00075497
                 101,            0.052311,           0.0075403,          0.00051554,              0.8384,             0.72711,             0.75608,             0.43891,            0.045737,           0.0038026,          0.00047555,           0.0007525,           0.0007525,           0.0007525
                 102,            0.051852,           0.0074228,          0.00058304,             0.83639,             0.72794,             0.75618,             0.43965,            0.045675,           0.0038003,          0.00047548,          0.00075003,          0.00075003,          0.00075003
                 103,            0.051302,           0.0074207,          0.00059454,             0.83806,             0.72649,             0.75597,              0.4405,            0.045626,           0.0037964,          0.00047484,          0.00074755,          0.00074755,          0.00074755
                 104,            0.051249,           0.0074198,          0.00053363,             0.83536,              0.7285,             0.75764,             0.44141,            0.045569,           0.0037935,          0.00047403,          0.00074507,          0.00074507,          0.00074507
                 105,            0.051847,           0.0074532,          0.00051824,              0.8334,             0.72766,             0.75659,             0.44157,            0.045512,           0.0037894,          0.00047333,           0.0007426,           0.0007426,           0.0007426
                 106,            0.050849,           0.0072982,           0.0004936,             0.83825,             0.72812,             0.75805,             0.44209,            0.045466,           0.0037868,          0.00047237,          0.00074013,          0.00074013,          0.00074013
                 107,            0.051155,           0.0074493,          0.00059727,             0.83638,             0.72854,              0.7589,             0.44334,            0.045395,           0.0037821,          0.00047131,          0.00073765,          0.00073765,          0.00073765
                 108,            0.050723,           0.0072847,          0.00047013,              0.8378,             0.72991,             0.76078,               0.444,            0.045339,           0.0037784,          0.00047018,          0.00073517,          0.00073517,          0.00073517
                 109,            0.050704,           0.0072877,           0.0004982,             0.82956,             0.73243,             0.76105,             0.44463,            0.045294,           0.0037761,          0.00046885,           0.0007327,           0.0007327,           0.0007327
                 110,            0.050569,            0.007254,          0.00048259,             0.83147,             0.73258,             0.76129,              0.4452,            0.045235,           0.0037721,          0.00046716,          0.00073023,          0.00073023,          0.00073023
                 111,            0.049893,            0.007085,          0.00048785,             0.82659,             0.73405,             0.76187,             0.44604,            0.045174,            0.003767,          0.00046619,          0.00072775,          0.00072775,          0.00072775
                 112,            0.049806,           0.0071414,          0.00045329,             0.83359,             0.73317,              0.7629,             0.44702,            0.045115,           0.0037635,          0.00046508,          0.00072527,          0.00072527,          0.00072527
                 113,            0.050266,            0.007153,          0.00047976,             0.83375,             0.73503,             0.76468,             0.44797,            0.045056,            0.003759,          0.00046371,           0.0007228,           0.0007228,           0.0007228
                 114,            0.050183,           0.0072077,          0.00049304,             0.82932,             0.73722,             0.76555,             0.44855,            0.044991,           0.0037534,          0.00046282,          0.00072032,          0.00072032,          0.00072032
                 115,            0.050764,           0.0072495,          0.00051796,             0.82958,             0.73681,             0.76588,             0.44966,            0.044926,           0.0037493,          0.00046235,          0.00071785,          0.00071785,          0.00071785
                 116,            0.049644,           0.0070682,          0.00053413,               0.831,             0.73657,             0.76649,             0.45036,            0.044869,           0.0037451,           0.0004617,          0.00071537,          0.00071537,          0.00071537
                 117,            0.049255,           0.0071537,          0.00050704,             0.83319,             0.73869,             0.76818,             0.45095,            0.044821,           0.0037408,          0.00046158,           0.0007129,           0.0007129,           0.0007129
                 118,            0.050916,           0.0073941,          0.00064629,             0.83407,              0.7393,             0.76937,             0.45176,            0.044763,           0.0037371,          0.00046047,          0.00071042,          0.00071042,          0.00071042
                 119,             0.05045,           0.0072796,          0.00060025,              0.8345,             0.74169,             0.77117,             0.45272,            0.044714,           0.0037337,          0.00046031,          0.00070795,          0.00070795,          0.00070795
                 120,            0.049935,           0.0072367,           0.0004973,             0.83611,             0.74177,             0.77157,             0.45343,            0.044665,           0.0037303,           0.0004603,          0.00070548,          0.00070548,          0.00070548
                 121,            0.050216,           0.0072395,          0.00051334,             0.83546,             0.74277,             0.77175,             0.45456,            0.044613,           0.0037264,          0.00045987,            0.000703,            0.000703,            0.000703
                 122,            0.049885,           0.0073263,          0.00047728,             0.83488,             0.74277,             0.77238,             0.45507,             0.04455,           0.0037217,          0.00045901,          0.00070053,          0.00070053,          0.00070053
